,Name,Shots,Club
0,H. Kane,22,Bayern München
1,L. Sané,16,Bayern München
2,L. Goretzka,13,Bayern München
3,S. Gnabry,10,Bayern München
4,M. Tel,8,Bayern München
5,J. Kimmich,8,Bayern München
6,K. Coman,6,Bayern München
7,N. Mazraoui,5,Bayern München
8,E. M. Choupo-Moting,4,Bayern München
9,M. de Ligt,3,Bayern München
10,J. Musiala,3,Bayern München
11,D. Upamecano,3,Bayern München
12,T. Müller,3,Bayern München
13,K. Laimer,3,Bayern München
14,A. Davies,1,Bayern München
15,F. Krätzig,1,Bayern München
0,E. Haaland,29,Manchester City
1,J. Álvarez,16,Manchester City
2,Rodri,14,Manchester City
3,P. Foden,12,Manchester City
4,J. Grealish,5,Manchester City
5,M. Kovačić,4,Manchester City
6,N. Aké,3,Manchester City
7,R. Dias,3,Manchester City
8,K. Walker,2,Manchester City
9,J. Gvardiol,2,Manchester City
10,A. Laporte,1,Manchester City
11,K. De Bruyne,1,Manchester City
12,M. Akanji,1,Manchester City
13,B. Silva,1,Manchester City
